file,audio_kmeans_lables,id
1006nk-20250216141813-1415935509907134,2,1006nk
1006nk-20250216141813-1435998994717901,3,1006nk
1006nk-20250216141813-2060035628176748,3,1006nk
1006nk-20250216141813-867647042842085,2,1006nk
1006nk-20250216141813-878208385069712,2,1006nk
1006nk-20250216141813-887865890501029,3,1006nk
1006nk-20250216141813-920678750646575,2,1006nk
1006nk-20250216141813-931089716158769,3,1006nk
1006nk-20250217234823-1135295501902850,2,1006nk
1006nk-20250218235814-3390114127795856,2,1006nk
1006nk-20250219163726-1644042270372770,2,1006nk
1006nk-20250221112421-3883051988658513,2,1006nk
1006nk-20250223162348-1426359298842900,2,1006nk
1006nk-20250226232127-1584448856135442,1,1006nk
1006nk-20250228230857-895756429709922,1,1006nk
1006nk-20250305193518-862274156616685,3,1006nk
1006nk-20250309153948-25780294444923808,2,1006nk
1006nk-20250316162404-947666691254661,2,1006nk
1006nk-20250316173354-1294460472702967,3,1006nk
1006nk-20250319185237-1205999394951569,2,1006nk
1006nk-20250320170403-789339970205416,2,1006nk
1006nk-20250324164359-4324395394554142,3,1006nk
1006nk-20250328130525-2914807698723492,2,1006nk
1006nk-20250403212011-1293966199232995,1,1006nk
1006nk-20250405161312-1193018126313909,3,1006nk
1006nk-20250405192554-1600011297986036,2,1006nk
1006nk-20250407222301-4118262598306398,3,1006nk
1006nk-20250413224851-1586322602609999,2,1006nk
1006nk-20250415155504-1350881190175253,3,1006nk
1006nk-20250418172750-900207642416998,1,1006nk
1006nk-20250421195050-1206512118317390,1,1006nk
1006nk-20250424030804-2074923713341319,2,1006nk
1006nk-20250426235356-849576574747364,3,1006nk
1006nk-20250429172548-26775544542046165,3,1006nk
1006nk-20250429181839-1855869675296900,2,1006nk
1006nk-20250502101930-870430572477715,3,1006nk
1006nk-20250506140628-903923648720543,2,1006nk
1006nk-20250507004850-1650606012763347,2,1006nk
1006nk-20250514172436-935487862249555,3,1006nk
1006nk-20250514221526-1233256915404612,2,1006nk
1006nk-20250520213757-1410481629915404,3,1006nk
1006nk-20250529221341-1436745411400566,1,1006nk
1006nk-20250602161347-1406619110328347,1,1006nk
1006nk-20250608020036-2107579776665293,1,1006nk
1006nk-20250626073555-1206900998257750,2,1006nk
1006nk-20250628203014-2373246473195522,1,1006nk
1006nk-20250628213736-2145842776231364,2,1006nk
1006nk-20250629203405-1557558555543836,2,1006nk
1006nk-20250630185337-1163582752313604,2,1006nk
1006nk-20250630190629-1861074041191880,2,1006nk
1006nk-20250702180501-2542335926162586,3,1006nk
1006nk-20250703234020-1227621086014827,3,1006nk
1006nk-20250707103204-1437658531320177,2,1006nk
1006nk-20250708110157-791387553986179,3,1006nk
1006nk-20250708161857-2223889438019865,1,1006nk
1006nk-20250710155541-895977000060953,2,1006nk
1006nk-20250711083829-884071890896055,2,1006nk
1006nk-20250711181521-1436657537988472,1,1006nk
1006nk-20250713091825-1815672289139651,3,1006nk
1006nk-20250713122600-894914432919649,3,1006nk
1006nk-20250713204937-2903949726469900,2,1006nk
1006nk-20250716183513-1248961580456054,2,1006nk
1006nk-20250717114008-1405834364335796,2,1006nk
1006nk-20250718172844-2702414040097016,3,1006nk
1006nk-20250718172927-2103355017077145,1,1006nk
1006nk-20250721212025-1301267365164475,2,1006nk
1006nk-20250721220120-913308835208216,3,1006nk
1006nk-20250724202007-1175757417686733,2,1006nk
1006nk-20250725081542-1589752325656396,3,1006nk
1006nk-20250725115337-3549329255219611,2,1006nk
1006nk-20250725195335-1222235312707840,3,1006nk
1006nk-20250726082442-1062812072695809,2,1006nk
1006nk-20250726103750-1410247719941960,2,1006nk
1006nk-20250726115133-1606598413799074,2,1006nk
1006nk-20250726181336-1948129809125175,2,1006nk
1006nk-20250727134111-4321461028072970,2,1006nk
1006nk-20250727152414-1587263939087741,2,1006nk
1006nk-20250728011626-933569042691860,2,1006nk
