file,visual_kmeans_lables,id
yga0721-20250430104332-2373904119741533,5,yga0721
yga0721-20250502174002-1261264749196499,5,yga0721
yga0721-20250429150341-1391040025446469,6,yga0721
yga0721-20250502110005-825213347238686,5,yga0721
yga0721-20250503001706-1460932138918279,3,yga0721
yga0721-20250430234205-927066019741199,6,yga0721
yga0721-20250430140758-1435500961616519,6,yga0721
yga0721-20250429162542-900814659316900,6,yga0721
yga0721-20250502070004-2345753715933560,6,yga0721
yga0721-20251106013248-1220563339578319,6,yga0721
yga0721-20250429190331-786042677168901,5,yga0721
yga0721-20250501204334-2130096337823392,5,yga0721
yga0721-20250502083058-1420619716263407,6,yga0721
yga0721-20250502080323-1226932216214578,2,yga0721
yga0721-20250501064141-895023786227361,5,yga0721
yga0721-20250928123209-3256577404526283,6,yga0721
yga0721-20250502072009-1295059725764097,5,yga0721
yga0721-20250502125542-926532136396806,5,yga0721
yga0721-20250501223707-2208394253232647,3,yga0721
yga0721-20250523021125-1532978657788554,6,yga0721
yga0721-20250213170746-908739578298355,2,yga0721
yga0721-20250408132842-1221883949463628,2,yga0721
yga0721-20250529112242-2382887622148423,6,yga0721
yga0721-20250502075250-1379219033508350,6,yga0721
yga0721-20251129004849-1404130634505530,5,yga0721
yga0721-20260112023602-1159441849602125,6,yga0721
yga0721-20250501223302-658580630647694,5,yga0721
yga0721-20250410015227-1612872329718733,2,yga0721
yga0721-20250430150716-1647560136598246,5,yga0721
yga0721-20250413024207-1585715752471770,5,yga0721
yga0721-20250502151514-2287160761769118,6,yga0721
yga0721-20250502134042-656422817530271,5,yga0721
yga0721-20250413023915-784793633972267,5,yga0721
yga0721-20250502180410-1676848297007948,5,yga0721
yga0721-20250213170746-3370347773115115,3,yga0721
yga0721-20250413023843-1566607064604943,5,yga0721
yga0721-20250413023653-1298942955590206,6,yga0721
yga0721-20250430071129-2058015628381818,6,yga0721
yga0721-20250430171203-844514891976541,5,yga0721
yga0721-20250503031533-912992564455620,3,yga0721
yga0721-20250430010051-2068895457380051,5,yga0721
yga0721-20250905113525-1225691793033658,5,yga0721
yga0721-20250502094951-1436511421363506,5,yga0721
yga0721-20250430054209-2275650622916016,6,yga0721
yga0721-20250731122527-929477109518096,5,yga0721
yga0721-20250429182852-1649514573079220,5,yga0721
yga0721-20250514050738-2170754950395377,5,yga0721
yga0721-20251113000137-3356917461127013,6,yga0721
yga0721-20251114085028-2645943862435142,6,yga0721
yga0721-20250828235156-866661932877617,6,yga0721
yga0721-20250430042309-917539137499884,5,yga0721
yga0721-20250502031932-1435473888322224,6,yga0721
yga0721-20250220014001-1529316312527257,6,yga0721
yga0721-20250501162909-1539532037160165,6,yga0721
yga0721-20250430193734-1605025540498877,6,yga0721
yga0721-20250918155822-1610095179999965,7,yga0721
yga0721-20250430125522-877444005138287,2,yga0721
yga0721-20250501185707-1229112955300860,5,yga0721
yga0721-20250226122417-2703635530003176,7,yga0721
yga0721-20250729123929-2114801712672936,6,yga0721
yga0721-20250301065726-906480315199841,6,yga0721
yga0721-20250502084532-1489265722757551,6,yga0721
yga0721-20250530021917-4281006648837448,5,yga0721
yga0721-20250830170718-1256430443060366,6,yga0721
yga0721-20250430190231-1844263766239525,6,yga0721
yga0721-20250501073604-921250637010955,5,yga0721
yga0721-20250501201603-941943621729255,5,yga0721
yga0721-20250731122459-893355403618240,3,yga0721
yga0721-20250306012006-1259968149368911,7,yga0721
yga0721-20250803180212-2486495065078340,5,yga0721
yga0721-20250704212839-33552474627729881,6,yga0721
yga0721-20250430125733-1359100772656550,6,yga0721
yga0721-20250605152552-916729230945020,3,yga0721
yga0721-20250501051915-1218402763201691,6,yga0721
yga0721-20251224233719-879591824716940,6,yga0721
yga0721-20250919052315-1824174681513645,6,yga0721
yga0721-20250315214621-1613398006745754,5,yga0721
yga0721-20250715214232-2000995290459307,6,yga0721
yga0721-20250528233229-904925422188220,6,yga0721
yga0721-20250430073059-878353441487241,3,yga0721
yga0721-20250629211712-700339856378001,5,yga0721
yga0721-20250810151826-881392754756410,3,yga0721
yga0721-20251018234450-2695298694159731,6,yga0721
yga0721-20250806013428-876176862050494,5,yga0721
yga0721-20250804020437-1218381220481244,7,yga0721
yga0721-20250613134815-1400747154314200,2,yga0721
yga0721-20250430121651-1429426552147072,6,yga0721
yga0721-20250323185335-2015572502705871,5,yga0721
yga0721-20250719145816-833847739705630,3,yga0721
yga0721-20250502041645-741298588748637,6,yga0721
yga0721-20250329090104-2138456880259989,3,yga0721
yga0721-20250905180808-756070243795094,5,yga0721
yga0721-20250503153511-2692705667759193,6,yga0721
yga0721-20250511093741-1235059551924886,5,yga0721
yga0721-20250909180928-2712851459067601,6,yga0721
yga0721-20250629121425-899298279147755,6,yga0721
yga0721-20250501203323-1252245530134541,5,yga0721
yga0721-20250430121906-2107310443391749,2,yga0721
yga0721-20250703144906-1599529917748519,5,yga0721
yga0721-20250429153705-1556612252302610,5,yga0721
yga0721-20250413143530-3557373997738779,5,yga0721
yga0721-20250501010658-1970174680379219,1,yga0721
yga0721-20250722150612-673119385822730,3,yga0721
yga0721-20250430132355-911246688132738,6,yga0721
yga0721-20250801204521-1399945411063914,2,yga0721
yga0721-20250502063107-728511056805502,5,yga0721
yga0721-20250712182949-2375706539609377,5,yga0721
yga0721-20250417051845-1640892114012921,7,yga0721
yga0721-20250805022955-1571883747355939,5,yga0721
yga0721-20250503053514-1415983970173746,6,yga0721
yga0721-20250525020946-1402414215013568,3,yga0721
yga0721-20250726013724-919756220581860,5,yga0721
yga0721-20250715102812-899308245836473,5,yga0721
yga0721-20250502043812-1447665770324166,5,yga0721
yga0721-20260122034232-1647891163043742,6,yga0721
yga0721-20250426140308-1470277038043280,5,yga0721
yga0721-20260116104856-912660264474887,6,yga0721
yga0721-20250502091851-858602230504081,5,yga0721
yga0721-20250504182600-2223193631423701,5,yga0721
yga0721-20250506012617-911189038118588,7,yga0721
yga0721-20250727142015-1613048089709392,3,yga0721
yga0721-20250718185626-890983677181770,5,yga0721
yga0721-20250705105813-2651614961884089,6,yga0721
yga0721-20250626215409-1535509637524594,3,yga0721
yga0721-20250515235415-850859514623118,6,yga0721
yga0721-20250705151508-4291578684418300,5,yga0721
yga0721-20250520160415-2349679782174214,5,yga0721
yga0721-20250902010613-991664566848740,6,yga0721
yga0721-20250522101914-873927072112123,7,yga0721
yga0721-20250522113022-2605824863107374,5,yga0721
yga0721-20250523150647-1454968552999354,6,yga0721
yga0721-20250526152641-1416585346683467,6,yga0721
yga0721-20250709084015-1941790690091288,1,yga0721
yga0721-20250529215949-1257480859591563,6,yga0721
yga0721-20250616052548-1257175609627307,5,yga0721
yga0721-20250829080756-2706850363035029,6,yga0721
yga0721-20250912072517-1393799935822109,6,yga0721
yga0721-20250531012447-836728099343237,6,yga0721
yga0721-20250602002243-1832611984112063,5,yga0721
yga0721-20250604215252-1993435711610587,6,yga0721
yga0721-20250721201254-25950549954575805,5,yga0721
yga0721-20250606013050-1398393441780729,3,yga0721
yga0721-20250609090720-1402024218067507,6,yga0721
yga0721-20250629233447-1449591370216406,1,yga0721
yga0721-20250728002308-741984545640716,7,yga0721
yga0721-20250611065317-734448796165919,3,yga0721
